subject,count,link
"poetry",5,"https://numeroushats.github.io/cb-oralhistory/browse.html#poetry"
"writing practice",5,"https://numeroushats.github.io/cb-oralhistory/browse.html#writing%20practice"
"computers and writing",5,"https://numeroushats.github.io/cb-oralhistory/browse.html#computers%20and%20writing"
"ipads",3,"https://numeroushats.github.io/cb-oralhistory/browse.html#ipads"
"notebooks",2,"https://numeroushats.github.io/cb-oralhistory/browse.html#notebooks"
"flarf",1,"https://numeroushats.github.io/cb-oralhistory/browse.html#flarf"
